Tag,Mapped_Value
32,FT-01
81,FT-62
79,FT-61
130,LT-61
152,PTB-04
156,PTT-04
281,TI-61
283,TI-63
284,TI-64
204,TI-112
35,FT-02
44,FT-05
52,FT-08
119,LT-01
120,LT-02
148,PTB-01
153,PTT-01
184,TI-03
185,TI-04
186,TI-05
187,TI-06
188,TI-07
189,TI-08
190,TI-09
191,TI-10
201,TI-11
275,TI-51
193,TI-102
280,TI-56
217,TI-204
291,TI-71A
292,TI-71B
55,FT-09
37,FT-03
46,FT-06
121,LT-03
122,LT-04
149,PTB-02
154,PTT-02
206,TI-13
207,TI-14
208,TI-15
209,TI-16
210,TI-17
211,TI-18
212,TI-19
213,TI-20
223,TI-21
233,TI-22
236,TI-23
240,TI-24
241,TI-25
242,TI-26
243,TI-27
245,TI-28
247,TI-29
248,TI-30
293,TI-72A
294,TI-72B
197,TI-106
65,FT-10
50,FT-07
41,FT-04
123,LT-05
124,LT-06
150,PTB-03
155,PTT-03
250,TI-31
252,TI-32
253,TI-33
254,TI-34
255,TI-35
256,TI-36
257,TI-37
258,TI-38
259,TI-39
260,TI-40
269,TI-41
270,TI-42
274,TI-45
278,TI-54
279,TI-55
271,TI-42A
272,TI-43
231,TI-215
234,TI-221
216,TI-203
220,TI-207
225,TI-211
214,TI-201
218,TI-205
222,TI-209
232,TI-216
235,TI-222
221,TI-208
228,TI-212
215,TI-202
219,TI-206
224,TI-210
73,FT-204
67,FT-201
69,FT-202
71,FT-203
202,TI-110
203,TI-111¨
192,TI-101
195,TI-104
196,TI-105
198,TI-107
200,TI-109
57,FI-101
58,FI-102
61,FI-103
63,FI-104
