Analysis Date,Analysis  Time,Sample Detail,Material,Naphth. % by GC,Thianaphth. %,Quinoline in ppm,Unknown Impurity%,SpGr,Analysed Temp OC,SpGr at 15.56OC,Mois. %,IBPOC,FBPOC
07.08.25,09.15AM,P-01,WFO,56.53,2.04,17459,1.83,1.028,46,1.046,0.2,98,340
07.08.25,06.00PM,P-01,WFO,55.52,2.02,17442,1.84,,,,,,
07.08.25,06.00PM,C-03-T,NO,88.94,4.22,6582,1.7,,,,,,
07.08.25,06.00PM,C-02-T,LCO,19.74,,,,0.989,35,1.001,,,
07.08.25,06.00PM,C-03-B,WO-270OC,1.46,,,,1.039,33,1.049,,232,290
07.08.25,06.00PM,C-01-B,ATO,0.01,,,,1.09,79,1.128,,268,360
08.08.25,06.00AM,C-03-T,NO,87.71,4.37,23446,0.75,,,,,,
08.08.25,06.00AM,C-02-T,LCO,53.42,,,,,,,,,
08.08.25,06.00AM,C-03-B,WO-270OC,1.25,,,,1.04,30,1.049,,238,278
08.08.25,06.00AM,C-01-B,ATO,0.03,,,,1.092,75,1.128,,272,360
08.08.25,09.30AM,P-01,WFO,56.38,2.03,18189,1.9,1.018,58,1.043,0.2,90,342
08.08.25,11.30AM,C-02-T,LCO,8.02,,,,0.986,31,0.995,,,
08.08.25,03.15PM,C-03-T,NO,87.05,3.21,12244,3.3,,,,,,
08.08.25,03.15PM,C-02-T,LCO,8.24,,,,0.991,35,1.003,,,
08.08.25,06.30AM,P-01,WFO,57.03,2.65,18244,2.17,,,,,,
08.08.25,07.30PM,C-03-B,WO-270OC,0.01,,,,1.036,30,1.045,,240,278
08.08.25,07.30PM,C-01-B,ATO,0.02,,,,1.09,79,1.128,,270,360
09.08.25,12.15AM,C-03-T,NO,86.76,3.5,8724,3.27,,,,,,
09.08.25,12.15AM,C-02-T,LCO,8.83,,,,0.992,32,1.002,,,
09.08.25,12.15AM,C-03-B,WO-270OC,0.02,,,,1.041,30,1.05,,240,276
09.08.25,12.15AM,C-01-B,ATO,0.07,,,,1.086,84,1.127,,272,360
09.08.25,07.00AM,C-03-T,NO,86.8,3.51,11897,3.08,,,,,,
09.08.25,07.00AM,C-03-B,WO-270OC,0.01,,,,,,,,,
09.08.25,07.00AM,C-01-B,ATO,0.54,,,,,,,,,
09.08.25,09.10AM,P-01,WFO,57.43,2.67,18583,2.22,1.021,56,1.145,0.2,94,344
09.08.25,12.50PM,C-03-T,NO,82.22,3.7,32380,2.53,,,,,,
09.08.25,12.50PM,C-02-T,LCO,9.75,,,,0.987,37,1,,,
09.08.25,03.30PM,C-03-T,NO,85.96,4.04,11137,3.37,,,,,,
09.08.25,03.30PM,C-02-T,LCO,15.24,,,,0.988,32,0.998,,,
09.08.25,03.30PM,C-03-B,WO-270OC,0.18,,,,,,,,,
09.08.25,03.30PM,C-01-B,ATO,0.02,,,,,,,,                                               ,
09.08.25,07.00PM,P-01,WFO,51.46,1.99,19929,1.56,,,,,,
09.08.25,09.30PM,C-03-T,NO,87.61,3.55,4523,3.33,,,,,,
10.08.25,12.30AM,C-03-T,NO,85.78,3.75,2056,4.25,,,,,,
10.08.25,12.30AM,C-02-T,LCO,12.45,,,,0.983,36,0.995,,,
10.08.25,12.30AM,C-03-B,WO-270OC,0.03,,,,1.032,32,1.042,,236,272
10.08.25,12.30AM,C-01-B,ATO,0.01,,,,1.094,74,1.129,,274,360
10.08.25,06.40AM,C-03-T,NO,84.61,4.61,2832,4.62,,,,,,
10.08.25,06.40AM,C-02-T,LCO,16.41,,,,0.986,38,0.999,,,
10.08.25,06.40AM,C-03-B,WO-270OC,0.02,,,,,,,,,
10.08.25,06.40AM,C-01-B,ATO,0.1,,,,,,,,,
10.08.25,08.45AM,P-01,WFO,58.2,2.74,19046,2.33,1.02,54,1.043,0.2,94,346
10.08.25,02.50PM,C-03-T,NO,86.26,4.05,1334,4.42,,,,,,
10.08.25,02.50PM,C-03-B,WO-270OC,0.03,,,,1.027,45,1.045,,234,260
10.08.25,02.50PM,C-01-B,ATO,0.07,,,,1.1,68,1.131,,296,360
10.08.25,05.30PM,P-01,WFO,58.56,2.43,18707,2.34,,,,,,
10.08.25,07.15PM,C-03-T,NO,91.4,2.95,1330,2.59,,,,,,
10.08.25,07.15PM,C-02-T,LCO,9,,,,0.983,39,0.997,,,
11.08.25,12.20AM,C-03-T,NO,89.53,3.54,1150,3.19,,,,,,
11.08.25,12.20AM,C-02-T,LCO,13.55,,,,0.989,34,1,,,
11.08.25,12.20AM,C-03-B,WO-270OC,0.08,,,,1.03,43,1.046,,236,266
11.08.25,12.20AM,C-01-B,ATO,0.03,,,,1.102,66,1.132,,280,360
11.08.25,06.10AM,C-03-T,NO,89.25,3.46,1510,2.68,,,,,,
11.08.25,06.10AM,C-02-T,LCO,13.54,,,,0.992,34,1.003,2,,
11.08.25,06.10AM,C-03-B,WO-270OC,0.06,,,,,,,,,
11.08.25,06.10AM,C-01-B,ATO,0.05,,,,1.088,78,1.125,,259,282
11.08.25,08.35AM,P-01,WFO,56.2,2.13,16425,1.98,1.026,50,1.047,0.2,104,360
11.08.25,11.30AM,C-02-T,LCO,13.58,,,,0.988,33,0.998,2.6,,
11.08.25,12.20PM,C-03-B,WO-270OC,0.16,,,,1.031,37,1.044,,236,266
11.08.25,06.00PM,C-03-T,NO,89.03,3.19,1157,3.11,,,,,,
11.08.25,06.00PM,C-03-B,WO-270OC,0.09,,,,,,,,,
11.08.25,06.00PM,P-01,WFO,56.06,1.99,18695,2.07,,,,,,
12.08.25,12.40AM,C-03-T,NO,87.55,3.62,1665,3.06,,,,,,
12.08.25,12.40AM,C-02-T,LCO,14.09,,,,0.988,33,0.998,,,
12.08.25,12.40AM,C-03-B,WO-270OC,0.07,,,,1.034,35,1.046,,236,264
12.08.25,12.40AM,C-01-B,ATO,0.17,,,,1.092,72,1.126,,280,360
12.08.25,06.40AM,C-03-T,NO,87.8,3.97,1444,3.32,,,,,,
12.08.25,06.40AM,C-02-T,LCO,12.97,,,,0.985,37,0.998,0.3,,
12.08.25,06.40AM,C-03-B,WO-270OC,0.04,,,,1.033,37,1.046,,236,266
